Customer_ID,Customer_Name,Gender,Age,City,Customer_Segment,Signup_Date
CUST0001,Customer_0001,Female,29,Mumbai,Regular,2024-03-04
CUST0002,Customer_0002,Male,33,Hyderabad,Regular,2024-12-15
CUST0003,Customer_0003,Male,41,Hyderabad,Premium,2025-05-08
CUST0004,Customer_0004,Male,36,Kolkata,New,2025-06-06
CUST0005,Customer_0005,Female,25,Ahmedabad,Regular,2024-04-07
CUST0006,Customer_0006,Female,48,Mumbai,Regular,2024-03-11
CUST0007,Customer_0007,Female,38,Delhi,Regular,2024-12-29
CUST0008,Customer_0008,Male,34,Kolkata,Regular,2025-07-23
CUST0009,Customer_0009,Male,40,Hyderabad,New,2024-10-02
CUST0010,Customer_0010,Male,54,Hyderabad,New,2024-02-19
CUST0011,Customer_0011,Female,33,Hyderabad,Regular,2024-12-23
CUST0012,Customer_0012,Other,23,Chennai,Regular,2025-12-28
CUST0013,Customer_0013,Male,25,Kolkata,New,2025-07-17
CUST0014,Customer_0014,Female,42,Pune,New,2025-04-29
CUST0015,Customer_0015,Female,35,Delhi,Premium,2024-03-24
CUST0016,Customer_0016,Female,42,Hyderabad,New,2025-09-29
CUST0017,Customer_0017,Female,29,Bengaluru,Premium,2025-08-06
CUST0018,Customer_0018,Male,32,Kolkata,Regular,2024-10-22
CUST0019,Customer_0019,Female,43,Chennai,Regular,2024-08-23
CUST0020,Customer_0020,Female,58,Kolkata,New,2024-02-25
CUST0021,Customer_0021,Male,43,Delhi,New,2024-12-25
CUST0022,Customer_0022,Female,49,Chennai,Regular,2024-04-19
CUST0023,Customer_0023,Female,27,Delhi,Regular,2024-07-10
CUST0024,Customer_0024,Female,33,Kolkata,Regular,2024-04-02
CUST0025,Customer_0025,Female,24,Pune,New,2025-07-21
CUST0026,Customer_0026,Male,34,Delhi,Regular,2024-02-29
CUST0027,Customer_0027,Female,40,Chennai,Regular,2025-10-11
CUST0028,Customer_0028,Male,43,Chennai,Regular,2024-02-08
CUST0029,Customer_0029,Male,38,Delhi,Regular,2025-06-23
CUST0030,Customer_0030,Female,39,Kolhapur,Regular,2024-02-18
CUST0031,Customer_0031,Male,24,Kolkata,Regular,2025-02-23
CUST0032,Customer_0032,Female,31,Kolhapur,New,2025-09-28
CUST0033,Customer_0033,Female,32,Ahmedabad,Regular,2024-01-13
CUST0034,Customer_0034,Male,24,Kolkata,New,2024-02-05
CUST0035,Customer_0035,Other,26,Delhi,Regular,2024-04-10
CUST0036,Customer_0036,Male,25,Mumbai,Regular,2024-03-26
CUST0037,Customer_0037,Female,40,Delhi,New,2025-05-30
CUST0038,Customer_0038,Female,46,Kolhapur,Regular,2024-08-10
CUST0039,Customer_0039,Male,35,Pune,New,2024-12-03
CUST0040,Customer_0040,Female,48,Delhi,Regular,2024-06-14
CUST0041,Customer_0041,Female,47,Delhi,Premium,2025-01-17
CUST0042,Customer_0042,Male,56,Pune,New,2025-01-10
CUST0043,Customer_0043,Female,52,Delhi,Premium,2025-04-15
CUST0044,Customer_0044,Male,35,Hyderabad,Regular,2025-10-03
CUST0045,Customer_0045,Female,59,Mumbai,New,2024-01-31
CUST0046,Customer_0046,Male,56,Bengaluru,New,2025-01-09
CUST0047,Customer_0047,Female,34,Mumbai,Regular,2024-01-11
CUST0048,Customer_0048,Male,31,Delhi,Regular,2024-10-28
CUST0049,Customer_0049,Male,48,Hyderabad,Regular,2024-04-05
CUST0050,Customer_0050,Female,41,Kolkata,New,2024-07-08
CUST0051,Customer_0051,Other,52,Delhi,New,2025-03-28
CUST0052,Customer_0052,Male,51,Kolhapur,Regular,2024-07-10
CUST0053,Customer_0053,Male,20,Hyderabad,New,2025-04-30
CUST0054,Customer_0054,Male,54,Pune,New,2024-09-22
CUST0055,Customer_0055,Male,60,Hyderabad,New,2025-02-27
CUST0056,Customer_0056,Male,57,Pune,Regular,2024-05-07
CUST0057,Customer_0057,Female,43,Ahmedabad,Premium,2024-08-25
CUST0058,Customer_0058,Female,40,Bengaluru,Regular,2024-12-20
CUST0059,Customer_0059,Female,56,Nagpur,Premium,2024-04-21
CUST0060,Customer_0060,Female,32,Hyderabad,Regular,2025-03-21
CUST0061,Customer_0061,Female,21,Chennai,Regular,2024-12-08
CUST0062,Customer_0062,Female,46,Kolhapur,New,2024-05-24
CUST0063,Customer_0063,Male,39,Delhi,Regular,2024-03-05
CUST0064,Customer_0064,Female,42,Kolhapur,Premium,2024-09-03
CUST0065,Customer_0065,Female,30,Mumbai,Regular,2025-05-04
CUST0066,Customer_0066,Male,35,Nagpur,Regular,2025-03-14
CUST0067,Customer_0067,Female,50,Mumbai,Regular,2024-04-15
CUST0068,Customer_0068,Male,33,Ahmedabad,New,2024-06-29
CUST0069,Customer_0069,Female,59,Nagpur,Premium,2024-07-02
CUST0070,Customer_0070,Other,19,Nagpur,Regular,2024-08-13
CUST0071,Customer_0071,Male,52,Mumbai,Regular,2024-03-29
CUST0072,Customer_0072,Female,59,Pune,Regular,2025-11-18
CUST0073,Customer_0073,Female,51,Mumbai,Regular,2025-06-13
CUST0074,Customer_0074,Male,47,Kolhapur,New,2025-01-05
CUST0075,Customer_0075,Male,30,Pune,Regular,2025-02-02
CUST0076,Customer_0076,Male,30,Kolhapur,New,2024-04-15
CUST0077,Customer_0077,Male,35,Ahmedabad,Regular,2024-09-27
CUST0078,Customer_0078,Female,49,Delhi,Regular,2025-05-17
CUST0079,Customer_0079,Female,49,Kolkata,Regular,2025-11-09
CUST0080,Customer_0080,Female,52,Pune,Regular,2025-06-08
CUST0081,Customer_0081,Male,56,Ahmedabad,Regular,2024-02-01
CUST0082,Customer_0082,Male,46,Chennai,New,2025-01-27
CUST0083,Customer_0083,Female,46,Ahmedabad,Regular,2024-02-09
CUST0084,Customer_0084,Female,33,Mumbai,New,2025-10-21
CUST0085,Customer_0085,Female,27,Mumbai,Regular,2024-08-05
CUST0086,Customer_0086,Female,47,Kolkata,New,2024-03-22
CUST0087,Customer_0087,Male,42,Ahmedabad,New,2025-12-20
CUST0088,Customer_0088,Male,56,Bengaluru,Regular,2024-07-19
CUST0089,Customer_0089,Male,37,Delhi,New,2025-03-22
CUST0090,Customer_0090,Male,22,Mumbai,Regular,2025-03-03
CUST0091,Customer_0091,Female,18,Kolkata,Regular,2024-02-07
CUST0092,Customer_0092,Male,47,Delhi,New,2024-07-29
CUST0093,Customer_0093,Male,20,Ahmedabad,Regular,2025-03-19
CUST0094,Customer_0094,Male,31,Ahmedabad,New,2024-11-22
CUST0095,Customer_0095,Male,47,Nagpur,New,2024-08-14
CUST0096,Customer_0096,Male,21,Kolkata,Regular,2024-02-17
CUST0097,Customer_0097,Male,35,Mumbai,New,2024-01-18
CUST0098,Customer_0098,Female,54,Bengaluru,Regular,2025-03-14
CUST0099,Customer_0099,Female,42,Ahmedabad,New,2025-12-08
CUST0100,Customer_0100,Female,18,Bengaluru,New,2024-07-05
CUST0101,Customer_0101,Female,32,Ahmedabad,Regular,2024-12-10
CUST0102,Customer_0102,Male,26,Mumbai,Regular,2024-08-11
CUST0103,Customer_0103,Female,32,Delhi,New,2025-05-02
CUST0104,Customer_0104,Male,41,Hyderabad,Regular,2024-08-16
CUST0105,Customer_0105,Male,21,Delhi,New,2025-01-24
CUST0106,Customer_0106,Female,29,Ahmedabad,Regular,2025-08-11
CUST0107,Customer_0107,Female,54,Kolhapur,Regular,2024-07-06
CUST0108,Customer_0108,Male,54,Hyderabad,Regular,2024-09-26
CUST0109,Customer_0109,Female,60,Hyderabad,Premium,2025-08-29
CUST0110,Customer_0110,Female,23,Bengaluru,Regular,2024-11-05
CUST0111,Customer_0111,Female,56,Kolkata,Premium,2024-05-11
CUST0112,Customer_0112,Female,41,Bengaluru,Regular,2025-07-04
CUST0113,Customer_0113,Male,28,Bengaluru,Premium,2024-03-12
CUST0114,Customer_0114,Male,30,Kolhapur,New,2025-11-02
CUST0115,Customer_0115,Male,51,Delhi,Regular,2024-07-05
CUST0116,Customer_0116,Male,42,Delhi,Regular,2025-04-30
CUST0117,Customer_0117,Male,24,Chennai,Regular,2024-07-09
CUST0118,Customer_0118,Female,21,Ahmedabad,Regular,2025-02-25
CUST0119,Customer_0119,Male,25,Kolhapur,Regular,2024-04-29
CUST0120,Customer_0120,Male,37,Chennai,New,2024-08-07
CUST0121,Customer_0121,Male,46,Mumbai,New,2024-02-22
CUST0122,Customer_0122,Male,27,Ahmedabad,Regular,2025-03-26
CUST0123,Customer_0123,Female,60,Ahmedabad,Regular,2025-02-15
CUST0124,Customer_0124,Female,51,Nagpur,Premium,2025-10-04
CUST0125,Customer_0125,Female,43,Nagpur,Regular,2024-08-24
CUST0126,Customer_0126,Female,58,Pune,Premium,2025-12-20
CUST0127,Customer_0127,Male,20,Pune,Regular,2025-02-09
CUST0128,Customer_0128,Male,23,Bengaluru,New,2025-08-30
CUST0129,Customer_0129,Female,22,Mumbai,New,2025-02-25
CUST0130,Customer_0130,Male,22,Hyderabad,Regular,2025-12-12
CUST0131,Customer_0131,Female,40,Hyderabad,Regular,2024-09-03
CUST0132,Customer_0132,Female,26,Nagpur,New,2024-03-12
CUST0133,Customer_0133,Female,52,Nagpur,Regular,2024-07-03
CUST0134,Customer_0134,Female,37,Nagpur,Premium,2024-01-06
CUST0135,Customer_0135,Male,59,Kolhapur,Regular,2024-07-24
CUST0136,Customer_0136,Female,52,Kolkata,Regular,2025-06-27
CUST0137,Customer_0137,Male,35,Pune,Regular,2025-09-02
CUST0138,Customer_0138,Male,34,Kolhapur,New,2025-01-21
CUST0139,Customer_0139,Female,41,Delhi,Regular,2025-11-29
CUST0140,Customer_0140,Other,20,Hyderabad,Regular,2024-03-16
CUST0141,Customer_0141,Other,49,Ahmedabad,New,2024-06-25
CUST0142,Customer_0142,Female,52,Pune,Regular,2024-12-14
CUST0143,Customer_0143,Male,55,Chennai,Regular,2024-09-11
CUST0144,Customer_0144,Female,30,Delhi,Regular,2025-12-02
CUST0145,Customer_0145,Female,42,Pune,Premium,2024-11-03
CUST0146,Customer_0146,Female,26,Kolhapur,New,2024-12-10
CUST0147,Customer_0147,Male,21,Mumbai,Regular,2024-05-06
