Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Discount_Pct,Payment_Method,Order_Status,Campaign_ID,Unit_Price,Unit_Cost,Gross_Sales,Discount_Amount,Net_Sales,Cost,Profit,Profit_Margin_Pct
ORD00001,2025-01-04,CUST0961,P022,2,0.0,Net Banking,Delivered,CMP005,5915,3970.45,11830,0.0,11830.0,7940.9,3889.1000000000004,32.8748943364328
ORD00002,2025-05-12,CUST0420,P006,4,0.0,UPI,Delivered,CMP003,4933,3611.45,19732,0.0,19732.0,14445.8,5286.200000000001,26.78998580985202
ORD00003,2025-08-06,CUST0249,P007,1,10.0,UPI,Delivered,CMP002,5886,3178.13,5886,588.6,5297.4,3178.13,2119.2699999999995,40.00585192736059
ORD00004,2025-09-17,CUST0588,P015,1,10.0,COD,Delivered,CMP001,5978,4066.66,5978,597.8,5380.2,4066.66,1313.54,24.41433403962678
ORD00005,2025-01-01,CUST0649,P011,4,20.0,Credit Card,Delivered,CMP005,7881,6026.38,31524,6304.8,25219.2,24105.52,1113.6800000000003,4.416000507549804
ORD00006,2025-03-12,CUST0164,P024,1,0.0,COD,Delivered,CMP002,972,537.49,972,0.0,972.0,537.49,434.51,44.702674897119344
ORD00007,2025-06-27,CUST0745,P003,1,10.0,Debit Card,Delivered,CMP002,5857,3883.91,5857,585.7,5271.3,3883.91,1387.3900000000003,26.319693434257207
ORD00008,2025-07-08,CUST0255,P006,2,10.0,Net Banking,Delivered,CMP003,4933,3611.45,9866,986.6,8879.4,7222.9,1656.5,18.655539788724465
ORD00009,2025-10-18,CUST0476,P002,1,10.0,Net Banking,Delivered,CMP003,6053,3796.4,6053,605.3,5447.7,3796.4,1651.2999999999997,30.31187473612717
ORD00010,2025-01-08,CUST0806,P014,3,20.0,Net Banking,Delivered,CMP002,6801,4221.32,20403,4080.6,16322.4,12663.96,3658.4400000000005,22.413615644758128
ORD00011,2025-09-10,CUST0417,P009,2,0.0,Net Banking,Delivered,CMP004,1097,712.85,2194,0.0,2194.0,1425.7,768.3,35.018231540565175
ORD00012,2025-10-19,CUST0170,P018,1,0.0,Credit Card,Returned,CMP004,6660,5091.78,6660,0.0,6660.0,5091.78,1568.2200000000003,23.54684684684685
ORD00013,2025-09-01,CUST0317,P019,1,10.0,Debit Card,Delivered,CMP001,7745,4299.97,7745,774.5,6970.5,4299.97,2670.5299999999997,38.31188580446165
ORD00014,2025-05-03,CUST0174,P012,3,5.0,Net Banking,Delivered,CMP003,5080,2793.69,15240,762.0,14478.0,8381.07,6096.93,42.11168669705761
ORD00015,2025-10-26,CUST0470,P013,1,0.0,UPI,Delivered,CMP004,6435,4995.55,6435,0.0,6435.0,4995.55,1439.4499999999998,22.369075369075368
ORD00016,2025-10-10,CUST0345,P012,2,5.0,Debit Card,Delivered,CMP002,5080,2793.69,10160,508.0,9652.0,5587.38,4064.62,42.11168669705761
ORD00017,2025-02-01,CUST0445,P012,3,5.0,Credit Card,Delivered,CMP006,5080,2793.69,15240,762.0,14478.0,8381.07,6096.93,42.11168669705761
ORD00018,2025-11-30,CUST0018,P018,4,10.0,Net Banking,Delivered,CMP003,6660,5091.78,26640,2664.0,23976.0,20367.12,3608.880000000001,15.052052052052057
ORD00019,2025-05-26,CUST0070,P009,2,0.0,Credit Card,Delivered,CMP001,1097,712.85,2194,0.0,2194.0,1425.7,768.3,35.018231540565175
ORD00020,2025-06-05,CUST0338,P017,3,5.0,Net Banking,Delivered,CMP002,4817,3075.17,14451,722.55,13728.45,9225.51,4502.9400000000005,32.80006118680551
ORD00021,2025-01-16,CUST0628,P021,1,10.0,UPI,Delivered,CMP003,5045,2967.68,5045,504.5,4540.5,2967.68,1572.8200000000002,34.639797379143275
ORD00022,2025-12-21,CUST0592,P016,2,10.0,Debit Card,Delivered,CMP001,7713,5310.71,15426,1542.6,13883.4,10621.42,3261.9799999999996,23.495541437976286
ORD00023,2025-02-16,CUST0527,P017,1,25.0,UPI,Delivered,CMP001,4817,3075.17,4817,1204.25,3612.75,3075.17,537.5799999999999,14.880077503286968
ORD00024,2025-09-08,CUST0688,P021,1,0.0,Net Banking,Delivered,CMP001,5045,2967.68,5045,0.0,5045.0,2967.68,2077.32,41.17581764122894
ORD00025,2025-07-06,CUST0456,P024,2,25.0,COD,Delivered,CMP003,972,537.49,1944,486.0,1458.0,1074.98,383.02,26.270233196159122
ORD00026,2025-01-31,CUST0269,P008,2,10.0,Debit Card,Delivered,CMP002,3129,1758.81,6258,625.8,5632.2,3517.62,2114.58,37.544476403536805
ORD00027,2025-09-17,CUST0631,P011,2,15.0,Credit Card,Delivered,CMP006,7881,6026.38,15762,2364.3,13397.7,12052.76,1344.9400000000005,10.038588712988053
ORD00028,2025-01-17,CUST0811,P024,4,10.0,Net Banking,Cancelled,CMP003,972,537.49,3888,388.8,3499.2,2149.96,1349.2399999999998,38.55852766346593
ORD00029,2025-02-08,CUST0188,P002,3,10.0,UPI,Cancelled,CMP005,6053,3796.4,18159,1815.9,16343.1,11389.2,4953.9,30.31187473612717
ORD00030,2025-10-31,CUST0569,P008,1,20.0,COD,Delivered,CMP004,3129,1758.81,3129,625.8,2503.2,1758.81,744.3899999999999,29.737535953978906
ORD00031,2025-02-08,CUST0711,P012,4,20.0,Net Banking,Delivered,CMP003,5080,2793.69,20320,4064.0,16256.0,11174.76,5081.24,31.257627952755907
ORD00032,2025-05-12,CUST0529,P021,1,0.0,Credit Card,Cancelled,CMP005,5045,2967.68,5045,0.0,5045.0,2967.68,2077.32,41.17581764122894
ORD00033,2025-01-30,CUST0434,P001,1,0.0,UPI,Delivered,CMP003,6748,4695.17,6748,0.0,6748.0,4695.17,2052.83,30.421310017783043
ORD00034,2025-06-07,CUST0288,P023,1,10.0,Debit Card,Delivered,CMP003,5137,3830.78,5137,513.7,4623.3,3830.78,792.52,17.141868362425107
ORD00035,2025-10-05,CUST0918,P013,1,20.0,COD,Cancelled,CMP003,6435,4995.55,6435,1287.0,5148.0,4995.55,152.44999999999982,2.961344211344208
ORD00036,2025-07-22,CUST0567,P022,1,5.0,Net Banking,Delivered,CMP005,5915,3970.45,5915,295.75,5619.25,3970.45,1648.8000000000002,29.341994038350315
ORD00037,2025-03-07,CUST0499,P021,2,10.0,Net Banking,Delivered,CMP004,5045,2967.68,10090,1009.0,9081.0,5935.36,3145.6400000000003,34.639797379143275
ORD00038,2025-04-18,CUST0441,P017,2,15.0,Net Banking,Returned,CMP002,4817,3075.17,9634,1445.1,8188.9,6150.34,2038.5599999999995,24.894186032312028
ORD00039,2025-09-25,CUST0781,P014,4,15.0,Net Banking,Delivered,CMP001,6801,4221.32,27204,4080.6,23123.4,16885.28,6238.120000000003,26.977520606831185
ORD00040,2025-08-10,CUST0303,P014,1,10.0,UPI,Delivered,CMP003,6801,4221.32,6801,680.1,6120.9,4221.32,1899.58,31.034325017562775
ORD00041,2025-10-19,CUST0087,P016,1,5.0,Debit Card,Delivered,CMP002,7713,5310.71,7713,385.65,7327.35,5310.71,2016.6400000000003,27.52209188860912
ORD00042,2025-01-18,CUST0830,P017,3,25.0,Credit Card,Delivered,CMP006,4817,3075.17,14451,3612.75,10838.25,9225.51,1612.7399999999998,14.880077503286968
ORD00043,2025-03-31,CUST0438,P006,1,10.0,COD,Delivered,CMP003,4933,3611.45,4933,493.3,4439.7,3611.45,828.25,18.655539788724465
