Session_ID,Session_Date,Customer_ID,Channel,Device,Product_View,Add_to_Cart,Checkout,Purchase
S00001,2025-12-12,CUST0918,Direct,Mobile,1,0,0,0
S00002,2025-08-16,CUST0695,Direct,Desktop,1,0,0,0
S00003,2025-07-14,CUST0302,Google Ads,Mobile,1,1,1,1
S00004,2025-09-03,CUST0297,Google Ads,Mobile,1,1,1,1
S00005,2025-03-30,CUST0491,Instagram,Desktop,1,1,1,0
S00006,2025-09-17,CUST0773,Organic,Mobile,1,1,0,0
S00007,2025-10-13,CUST0044,Direct,Mobile,1,0,0,0
S00008,2025-05-19,CUST0144,Organic,Mobile,1,0,0,0
S00009,2025-02-20,CUST0244,Instagram,Mobile,0,0,0,0
S00010,2025-05-27,CUST0419,Email,Desktop,1,1,0,0
S00011,2025-08-30,CUST0517,Email,Mobile,0,0,0,0
S00012,2025-11-30,CUST0062,Email,Mobile,1,1,0,0
S00013,2025-08-20,CUST0858,Email,Desktop,1,0,0,0
S00014,2025-01-27,CUST0538,Google Ads,Mobile,0,0,0,0
S00015,2025-12-10,CUST0317,Organic,Desktop,1,1,0,0
S00016,2025-07-27,CUST0435,Direct,Mobile,1,1,1,1
S00017,2025-05-18,CUST0837,Direct,Mobile,0,0,0,0
S00018,2025-06-04,CUST0696,Instagram,Desktop,0,0,0,0
S00019,2025-01-07,CUST0818,Google Ads,Desktop,0,0,0,0
S00020,2025-04-25,CUST0381,Instagram,Mobile,1,1,0,0
S00021,2025-04-02,CUST0036,Google Ads,Desktop,1,0,0,0
S00022,2025-12-12,CUST0920,Email,Desktop,1,1,1,1
S00023,2025-03-23,CUST0975,Instagram,Tablet,1,0,0,0
S00024,2025-01-13,CUST0542,Instagram,Desktop,1,1,0,0
S00025,2025-03-13,CUST0581,Google Ads,Desktop,1,1,1,1
S00026,2025-04-01,CUST0232,Direct,Mobile,1,1,1,0
S00027,2025-07-07,CUST0688,Instagram,Mobile,1,0,0,0
S00028,2025-04-15,CUST0790,Email,Mobile,1,0,0,0
S00029,2025-10-27,CUST0033,Instagram,Desktop,1,1,0,0
S00030,2025-03-25,CUST0581,Organic,Mobile,1,1,1,1
S00031,2025-01-28,CUST0352,Email,Mobile,1,0,0,0
S00032,2025-10-06,CUST0255,Google Ads,Desktop,0,0,0,0
S00033,2025-01-12,CUST0050,Google Ads,Mobile,0,0,0,0
S00034,2025-11-03,CUST0023,Email,Mobile,1,0,0,0
S00035,2025-12-30,CUST0254,Direct,Mobile,1,1,1,1
S00036,2025-05-30,CUST0394,Email,Mobile,0,0,0,0
S00037,2025-11-14,CUST0676,Direct,Desktop,1,0,0,0
S00038,2025-01-26,CUST0882,Instagram,Mobile,0,0,0,0
S00039,2025-08-02,CUST0273,Direct,Mobile,1,1,1,1
S00040,2025-11-10,CUST0693,Instagram,Mobile,0,0,0,0
S00041,2025-08-28,CUST0859,Organic,Desktop,1,0,0,0
S00042,2025-08-10,CUST0250,Organic,Mobile,1,0,0,0
S00043,2025-03-09,CUST0237,Email,Desktop,1,1,1,1
S00044,2025-09-19,CUST0904,Instagram,Desktop,1,0,0,0
S00045,2025-04-21,CUST0232,Instagram,Mobile,1,1,0,0
S00046,2025-05-10,CUST0428,Google Ads,Desktop,1,1,0,0
S00047,2025-06-08,CUST0957,Email,Desktop,1,0,0,0
S00048,2025-10-07,CUST0634,Google Ads,Desktop,1,0,0,0
S00049,2025-10-18,CUST0242,Email,Mobile,1,1,1,1
S00050,2025-10-30,CUST0134,Direct,Mobile,1,1,0,0
S00051,2025-01-31,CUST0071,Direct,Desktop,1,1,1,1
S00052,2025-03-30,CUST0858,Instagram,Desktop,1,0,0,0
S00053,2025-11-28,CUST0465,Direct,Mobile,0,0,0,0
S00054,2025-04-28,CUST0421,Instagram,Mobile,1,1,1,1
S00055,2025-05-10,CUST0310,Email,Desktop,0,0,0,0
S00056,2025-07-26,CUST0279,Direct,Desktop,1,1,0,0
S00057,2025-12-26,CUST0219,Google Ads,Mobile,1,1,1,1
S00058,2025-02-28,CUST0697,Direct,Mobile,1,0,0,0
S00059,2025-04-06,CUST0307,Direct,Tablet,1,0,0,0
S00060,2025-11-15,CUST1000,Direct,Desktop,0,0,0,0
S00061,2025-09-03,CUST0314,Instagram,Mobile,1,1,1,1
S00062,2025-05-25,CUST0403,Direct,Mobile,1,1,0,0
S00063,2025-11-06,CUST0923,Instagram,Mobile,1,1,1,1
S00064,2025-05-05,CUST0729,Google Ads,Desktop,1,1,0,0
S00065,2025-01-22,CUST0488,Email,Desktop,1,0,0,0
S00066,2025-12-19,CUST0793,Direct,Desktop,1,1,1,1
S00067,2025-10-12,CUST0405,Organic,Mobile,1,1,0,0
S00068,2025-07-26,CUST0379,Direct,Mobile,1,1,1,1
S00069,2025-09-15,CUST0281,Direct,Desktop,1,1,0,0
S00070,2025-10-25,CUST0637,Direct,Mobile,1,1,1,1
S00071,2025-02-21,CUST0691,Organic,Desktop,1,0,0,0
S00072,2025-02-07,CUST0327,Direct,Desktop,1,1,0,0
S00073,2025-06-02,CUST0035,Google Ads,Mobile,1,1,0,0
S00074,2025-11-29,CUST0070,Organic,Tablet,1,0,0,0
S00075,2025-08-04,CUST0360,Direct,Desktop,1,1,1,1
S00076,2025-08-11,CUST0690,Organic,Mobile,1,1,1,1
S00077,2025-05-23,CUST0911,Instagram,Mobile,1,1,1,0
S00078,2025-04-15,CUST0408,Organic,Desktop,1,1,1,1
S00079,2025-01-10,CUST0561,Instagram,Mobile,1,1,0,0
S00080,2025-08-30,CUST0580,Google Ads,Mobile,1,1,1,1
S00081,2025-04-24,CUST0519,Direct,Desktop,0,0,0,0
S00082,2025-08-21,CUST0606,Direct,Mobile,1,1,0,0
S00083,2025-03-10,CUST0384,Instagram,Tablet,1,0,0,0
S00084,2025-12-31,CUST0081,Instagram,Mobile,1,1,1,0
S00085,2025-02-13,CUST0438,Organic,Mobile,1,1,0,0
S00086,2025-06-18,CUST0250,Google Ads,Mobile,1,1,1,1
S00087,2025-07-30,CUST0038,Direct,Desktop,1,0,0,0
S00088,2025-10-03,CUST0862,Organic,Mobile,0,0,0,0
S00089,2025-04-17,CUST0045,Instagram,Desktop,1,1,1,1
S00090,2025-06-16,CUST0359,Direct,Mobile,0,0,0,0
S00091,2025-07-24,CUST0137,Google Ads,Desktop,1,0,0,0
S00092,2025-04-29,CUST0823,Instagram,Mobile,1,1,1,1
S00093,2025-04-19,CUST0979,Direct,Mobile,0,0,0,0
S00094,2025-08-27,CUST0820,Organic,Desktop,1,1,0,0
S00095,2025-01-08,CUST0461,Direct,Mobile,1,0,0,0
S00096,2025-02-12,CUST0367,Google Ads,Mobile,1,1,1,1
S00097,2025-10-24,CUST0305,Email,Desktop,1,0,0,0
S00098,2025-05-12,CUST0229,Google Ads,Mobile,1,0,0,0
S00099,2025-07-25,CUST0183,Instagram,Mobile,1,0,0,0
S00100,2025-10-07,CUST0467,Google Ads,Desktop,0,0,0,0
S00101,2025-08-27,CUST0838,Organic,Desktop,1,1,0,0
S00102,2025-10-04,CUST0204,Instagram,Mobile,1,0,0,0
S00103,2025-02-15,CUST0975,Google Ads,Mobile,1,1,1,1
S00104,2025-07-17,CUST0623,Instagram,Desktop,1,1,1,1
S00105,2025-05-01,CUST0899,Email,Desktop,1,1,1,1
S00106,2025-10-27,CUST0068,Google Ads,Mobile,1,0,0,0
S00107,2025-08-08,CUST0869,Instagram,Mobile,1,0,0,0
S00108,2025-12-22,CUST0550,Instagram,Mobile,1,0,0,0
S00109,2025-10-16,CUST0710,Direct,Mobile,1,0,0,0
S00110,2025-04-04,CUST0305,Organic,Desktop,1,1,1,1
S00111,2025-10-19,CUST0604,Email,Mobile,0,0,0,0
S00112,2025-06-02,CUST0776,Instagram,Mobile,1,1,1,1
S00113,2025-01-13,CUST0755,Instagram,Mobile,1,1,1,0
S00114,2025-07-26,CUST0628,Email,Mobile,1,0,0,0
S00115,2025-09-12,CUST0095,Direct,Tablet,1,1,1,0
S00116,2025-06-07,CUST0725,Email,Mobile,0,0,0,0
S00117,2025-09-27,CUST0246,Email,Mobile,1,0,0,0
S00118,2025-11-02,CUST0685,Google Ads,Desktop,1,1,0,0
S00119,2025-03-09,CUST0797,Google Ads,Desktop,1,0,0,0
S00120,2025-09-14,CUST0079,Google Ads,Desktop,0,0,0,0
S00121,2025-07-08,CUST0433,Organic,Mobile,1,1,1,0
S00122,2025-01-03,CUST0280,Google Ads,Mobile,1,1,1,1
S00123,2025-08-25,CUST0661,Instagram,Desktop,1,0,0,0
S00124,2025-05-12,CUST0369,Google Ads,Desktop,1,1,1,1
S00125,2025-06-20,CUST0279,Google Ads,Mobile,1,1,1,1
S00126,2025-09-27,CUST0351,Direct,Mobile,1,1,1,0
S00127,2025-03-30,CUST0226,Instagram,Desktop,0,0,0,0
S00128,2025-04-13,CUST0924,Email,Tablet,0,0,0,0
S00129,2025-05-05,CUST0928,Google Ads,Desktop,1,1,0,0
S00130,2025-03-08,CUST0406,Email,Desktop,0,0,0,0
S00131,2025-09-20,CUST0446,Instagram,Mobile,1,0,0,0
S00132,2025-01-08,CUST0323,Instagram,Tablet,1,1,1,1
S00133,2025-02-13,CUST0630,Google Ads,Desktop,1,1,1,0
S00134,2025-05-15,CUST0073,Direct,Mobile,1,0,0,0
S00135,2025-09-05,CUST0518,Email,Mobile,1,1,1,1
S00136,2025-10-31,CUST0321,Google Ads,Tablet,0,0,0,0
S00137,2025-11-14,CUST0022,Instagram,Tablet,1,0,0,0
S00138,2025-01-25,CUST0179,Email,Mobile,1,1,1,1
S00139,2025-07-15,CUST0708,Direct,Mobile,1,0,0,0
S00140,2025-07-11,CUST0109,Organic,Mobile,1,1,1,1
S00141,2025-05-02,CUST0372,Email,Desktop,1,1,0,0
S00142,2025-09-17,CUST0697,Organic,Mobile,0,0,0,0
S00143,2025-02-16,CUST0456,Direct,Desktop,1,1,1,0
S00144,2025-07-28,CUST0567,Google Ads,Mobile,0,0,0,0
S00145,2025-10-28,CUST0229,Organic,Mobile,1,0,0,0
S00146,2025-03-30,CUST0938,Organic,Mobile,1,0,0,0
S00147,2025-01-03,CUST0948,Email,Desktop,1,1,0,0
S00148,2025-05-25,CUST0957,Google Ads,Mobile,1,1,1,1
S00149,2025-01-22,CUST0531,Google Ads,Mobile,1,1,1,1
S00150,2025-02-08,CUST0364,Google Ads,Mobile,0,0,0,0
S00151,2025-10-22,CUST0897,Google Ads,Desktop,1,1,1,1
S00152,2025-04-17,CUST0425,Direct,Desktop,1,0,0,0
S00153,2025-04-10,CUST0959,Direct,Mobile,1,1,1,1
S00154,2025-09-29,CUST0216,Instagram,Mobile,1,1,0,0
S00155,2025-08-17,CUST0048,Google Ads,Desktop,1,1,1,0
S00156,2025-10-12,CUST0465,Instagram,Mobile,0,0,0,0
S00157,2025-07-25,CUST0672,Instagram,Desktop,1,0,0,0
S00158,2025-03-12,CUST0946,Email,Mobile,1,1,0,0
S00159,2025-06-18,CUST0910,Instagram,Desktop,1,1,1,1
S00160,2025-07-04,CUST0273,Instagram,Mobile,1,1,0,0
S00161,2025-11-29,CUST0608,Direct,Desktop,1,1,0,0
S00162,2025-07-27,CUST0993,Organic,Desktop,1,0,0,0
S00163,2025-12-21,CUST0030,Direct,Mobile,0,0,0,0
S00164,2025-09-28,CUST0633,Organic,Desktop,1,1,0,0
S00165,2025-12-12,CUST0879,Instagram,Tablet,1,1,1,1
S00166,2025-05-15,CUST0947,Instagram,Desktop,1,1,1,1
S00167,2025-05-26,CUST0866,Direct,Mobile,1,1,1,1
S00168,2025-12-11,CUST0988,Direct,Mobile,1,1,0,0
S00169,2025-05-29,CUST0190,Email,Mobile,1,1,1,1
S00170,2025-04-26,CUST0152,Instagram,Mobile,1,1,0,0
S00171,2025-07-06,CUST0376,Google Ads,Mobile,0,0,0,0
S00172,2025-01-20,CUST0255,Google Ads,Mobile,1,0,0,0
S00173,2025-12-04,CUST0703,Direct,Mobile,1,1,0,0
S00174,2025-09-01,CUST0654,Direct,Mobile,1,1,0,0
S00175,2025-03-08,CUST0758,Direct,Mobile,1,0,0,0
S00176,2025-03-03,CUST0034,Google Ads,Mobile,0,0,0,0
S00177,2025-10-01,CUST0187,Instagram,Desktop,1,1,1,1
S00178,2025-12-13,CUST0879,Instagram,Desktop,1,0,0,0
S00179,2025-04-20,CUST0449,Google Ads,Mobile,1,0,0,0
S00180,2025-02-25,CUST0086,Instagram,Mobile,0,0,0,0
S00181,2025-03-26,CUST0673,Organic,Mobile,1,1,1,1
S00182,2025-09-21,CUST0876,Google Ads,Mobile,1,0,0,0
S00183,2025-04-17,CUST0118,Google Ads,Desktop,1,1,0,0
S00184,2025-01-12,CUST0623,Google Ads,Desktop,1,1,1,0
S00185,2025-06-25,CUST0058,Organic,Mobile,1,1,1,0
S00186,2025-12-25,CUST0018,Google Ads,Desktop,1,1,1,1
S00187,2025-11-15,CUST0879,Email,Desktop,1,0,0,0
S00188,2025-01-27,CUST0871,Direct,Mobile,0,0,0,0
S00189,2025-10-18,CUST0140,Organic,Mobile,1,1,1,1
S00190,2025-05-10,CUST0458,Email,Mobile,1,1,0,0
S00191,2025-08-15,CUST0706,Organic,Mobile,1,1,0,0
S00192,2025-05-16,CUST0642,Organic,Mobile,1,1,1,1
S00193,2025-01-20,CUST0966,Organic,Mobile,0,0,0,0
S00194,2025-09-21,CUST0212,Instagram,Mobile,1,1,1,1
S00195,2025-11-20,CUST0486,Direct,Mobile,1,0,0,0
S00196,2025-06-08,CUST0796,Direct,Desktop,0,0,0,0
S00197,2025-06-09,CUST0120,Instagram,Mobile,1,0,0,0
S00198,2025-12-08,CUST0891,Instagram,Mobile,1,0,0,0
S00199,2025-01-26,CUST0554,Organic,Mobile,1,1,0,0
S00200,2025-03-22,CUST0003,Instagram,Mobile,0,0,0,0
S00201,2025-01-18,CUST0944,Instagram,Mobile,1,1,1,1
S00202,2025-03-10,CUST0229,Organic,Mobile,0,0,0,0
S00203,2025-05-10,CUST0229,Organic,Mobile,1,1,0,0
S00204,2025-05-15,CUST0985,Email,Mobile,1,1,1,1
S00205,2025-10-30,CUST0343,Organic,Desktop,1,1,1,1
S00206,2025-08-06,CUST0141,Google Ads,Desktop,1,0,0,0
S00207,2025-11-06,CUST0057,Organic,Desktop,1,0,0,0
S00208,2025-01-15,CUST0216,Direct,Desktop,1,1,0,0
S00209,2025-07-05,CUST0643,Instagram,Desktop,1,0,0,0
S00210,2025-07-14,CUST0114,Organic,Mobile,1,1,1,0
S00211,2025-07-10,CUST0703,Google Ads,Mobile,1,0,0,0
S00212,2025-08-22,CUST0755,Direct,Mobile,1,1,1,1
S00213,2025-03-07,CUST0294,Direct,Mobile,1,0,0,0
S00214,2025-03-22,CUST0827,Google Ads,Desktop,1,1,1,1
S00215,2025-02-05,CUST0028,Organic,Mobile,1,0,0,0
S00216,2025-08-23,CUST0538,Organic,Mobile,0,0,0,0
S00217,2025-01-17,CUST0596,Direct,Desktop,1,1,1,1
S00218,2025-01-02,CUST0859,Email,Desktop,0,0,0,0
S00219,2025-02-02,CUST0321,Google Ads,Mobile,1,0,0,0
S00220,2025-12-15,CUST0842,Instagram,Mobile,1,1,1,1
S00221,2025-05-14,CUST0714,Email,Tablet,0,0,0,0
S00222,2025-12-22,CUST0573,Google Ads,Mobile,1,0,0,0
S00223,2025-12-10,CUST0697,Instagram,Mobile,0,0,0,0
S00224,2025-09-24,CUST0758,Instagram,Desktop,1,0,0,0
S00225,2025-01-05,CUST0513,Organic,Mobile,1,0,0,0
S00226,2025-10-13,CUST0928,Google Ads,Tablet,1,0,0,0
S00227,2025-12-13,CUST0755,Direct,Desktop,0,0,0,0
S00228,2025-04-01,CUST0032,Email,Mobile,1,0,0,0
S00229,2025-06-01,CUST0747,Email,Mobile,1,1,1,1
S00230,2025-04-28,CUST0411,Direct,Mobile,1,0,0,0
S00231,2025-03-02,CUST0397,Instagram,Desktop,0,0,0,0
S00232,2025-12-24,CUST0017,Organic,Mobile,1,0,0,0
S00233,2025-01-26,CUST0924,Organic,Mobile,1,0,0,0
S00234,2025-04-19,CUST0601,Direct,Desktop,1,0,0,0
S00235,2025-10-22,CUST0052,Google Ads,Desktop,1,1,0,0
